question,reference_answer,answer,score
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",berfikir secara bijaksana dan menghindari hidup yang merugukan diri sendiri ,20.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",dengan berfikir positif maka manusia akan berfikir yang baik untuk kesehatannya. sehingga mendorong individu untuk selalu melakukan pola hidup sehat setiap harinya. ,30.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.","makan-makanan yang bergizi,olahraga ",7.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.","makan-makanan yang bergizi,olahraga ",7.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",denga berfikir positif maka tubuh akan berusaha menjalani pola hidup sehat dan tidak memberatkan kondisi tubuh ,42.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",berfikir positif membuat jiwa kita merasa bahagia ,24.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.","Jika boleh saya menilai, maka pola sikap dan pemikiran “short-cut” (asal bunyi tanpa observasi, data dan pengujian) seperti itu tidak jauh berbeda dengan pola pemikiran kita 5 abad yang lalu, hanya saja saat ini masyarakat telah memiliki knowledge yang lebih mengenai patologi. Namun, pemikiran yang sengaja kita batasi untuk mengeksplor lebih mendalam fenomena-fenomena alam sebagai source of knowledge tampaknya menjadi penghalang terbesar kemajuan pendidikan teknologi bangsa kita. Ini berimplikasi tumbuhnya kultur bangsa yang hanya lebih cenderung menjadi bangsa pengguna (customer-consumer) produk luar, bukan producer atau inventor. DNA dan Kehidupan ",40.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",selalu berpikir yang benar ,9.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.","jika kita berfikir positif maka kita akan tenang dan syaraf akan tidak tegang, selain itu kita tidak stress sehingga kita sehat ",30.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",Berfikir positif selalu membawa dampak positif bagi diri sendiri dan orang lain ,26.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",jika kita berpikir baik maka kita akan sehat ,13.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",- ,0.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",tidak berfikir dengan negatif ,11.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.","sangat berhubungan, karena hidup sehat dimulai dari fikiran yang sehat pula ",21.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",dengan kita terus berpikir positif kita bisa belajar hidup sehat ,26.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",Salah satu cara untuk menjadi hidup sehat adalah dengan selalu menjaga pola pikir agar selalu positif karena jika fikiran resah atau gelisah juga membuat beban fikiran bertambah berat ,28.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",harus berfikir positif ,20.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",mempengaruhi cara pandang yang menganggap pola hidup positif terlalu membosankan ,20.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.","olahraga, fitnes, makan makanan yang begizi ",10.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",1. selalu olahraga teratur 2. makan makanan yang sehat ,10.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",pokok ngopi sek ,0.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.","Dari penelitian-penelitian efek pikiran positif terhadap gen yang menjadi sumber utama pertumbuhan dan fungsi sel, maka dapat ditarik satu pengetahuan baru yakni emosi positif dapat memicu tombol genetik. Jika tubuh dapat direpresentasikan sebagai sistem yang terdiri dari mental/batin/pikiran dan tubuh/fisik/DNA, maka antara tubuh dan batin akan memiliki hubungan saling terkait (dependence relationship). Untuk manusia secara umum, maka ketika mentalnya bermasalah (stress, tegang, takut), maka fisiknya pun akan terganggu. Fisiknya akan mudah terserang penyakit dan bibit penyakit. Begitu juga sebaliknya, jika seseorang mengalami penderitaan fisik, maka hal tersebut dapat mempengaruhi batin atau mentalnya. ",28.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",dengan berfikir positif biasa mempengaruhi pemikiran seseorang dimana ketika pemikiran seseorang tersebut baik (positfi) akan berpengaruh pada kualitas hidup yang sehat ,22.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.","jika seseorang selalu berpikiran positif, maka kemungkinan untuk menjaga kesehatan tubuh lebih besar. Dengan demikian orang yang selalu berpikiran positif, akan terlihat lebih sehat dan jarang terkena penyakit. ",25.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",bila kita berfikir positif maka hal hal yang kita lakukan akan menjadi positif. dan pola hidup kita menjadi sehat dikarenakan sikap dalam mengambil tindakan menjadi lebih jernih ,25.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",berfikir positif adalah cara hidup sehat bagi manusia ,13.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",dengan berpikir positif kita menjadi lebih optimis dalam menjalani hidup dan tidak mudah berputus asa sehingga kehidupan menjadi lebih bermakna. ,23.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.","Makan makanan yang membuat tubuh sehat, melakukan kegiatan yang membuat tubuh sehat, memikirkan hal hal yang positif, berbicara hal hal yang positif, mendengar hal hal positif. ",28.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.","Membiasakan diri dengan rutin berolahraga, makan makanan bergizi, kurangi makan makanan berlemak. ",20.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",dengan berolahraga menjaga pola makan ,12.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",ketika kita selalu berfikiran positif maka secara otomatis tubuh kita akan ikut menjadi lebih sehat. ,23.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",berfikir positif dapat mengeluarkan energi positif ,21.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",Berfikir positif dapat menyebabkan hidup yang sehat. Karena pikiran tidak terfosir memikirkan hal-hal yang tidak di inginkan. ,26.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.","Karena orang-orang sukses adalah orang-orang yang memiliki pola pikir positif, maka untuk masuk dan dapat diterima dengan respon positif, Anda harus positif pula. Orang-orang yang berpikir positif adalah pribadi yang tidak pernah ngotot mempertahankan pendapatnya sendiri, berani mengakui kekurangan, kesalahan dan kelemahannya. Dan orang-orang yang selalu optimis, memiliki daya tahan mental dan tidak pernah larut dalam keputusasaan. Pameo lama mengatakan : Dalam tubuh yang sehat terdapat jiwa yang sehat ",40.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",hgfguisehufeigfiuegfeiu ,0.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.","Menciptakan pola pikir positif dapat mengarah pada kesehatan yang lebih baik, membantu Anda hidup sehat, dan membantu Anda menarik kesuksesan dan kesempatan, dan bahkan cinta ke dalam hidup Anda. ",21.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.","Berpikiran positif akan memberikan dampak yang luar biasa yaitu: - Terhindar dari stres, dengan mengontrol hidup dan pikiran kita untuk selalu berpikiran positif maka hidup kita akan menjadi lebih rileks dan terhindar dari stres. - Tubuh menjadi lebih sehat, berpikiran positif sangat berkaitan erat dengan kesehatan karena rasa takut, cemas, iri, cemburu dan masalah buruk lainnya membuat metabolisme tubuh menjadi terganggu sehingga mengakibatkan timbulnya penyakit. - Lebih percaya diri, saat kita berpikiran positif maka pikiran-pikiran buruk akan lebih mudah kita singkirkan sehingga kita menjadi lebih optimis dan percaya diri. - Lebih mudah untuk sukses, jika kita selalu berpikiran positif dalam menghadapi suatu keadaan maka pikiran kita lebih mudah untuk menimbang baik buruknya keputusan yang kita ambil sehingga kita lebih bijak dan memberikan solusi yang tepat dan untuk masa depan maka hidup kita akan menjadi lebih sukses dan berhasil. - Lebih fokus, saat kita mengerjakan sesuatu dengan selalu berpikiran positif maka pikiran kita menjadi lebih jernih sehingga akan lebih mudah fokus dalam mengerjakan sesuatu sehingga hidup kita lebih terorganisir dan manfaatnya kita bisa lebih mudah mengatur waktu dalam hidup kita. - Lebih berani, saat kita berpikiran positif maka kita akan mengubah pikiran-pikiran yang dapat melemahkan hidup kita menjadi sesuatu hal yang positif sehingga lebih berani saat menghadapi sesuatu. - Lebih banyak teman, saat kita selalu berpikiran positif maka secara otomatis keluarga dan teman-teman kita akan lebih senang berada dekat dengan kita dan membuat kita mempunyai banyak teman dan sahabat yang menyayangi kita. - Hidup akan lebih bahagia, berpikiran positif membuat kita selalu bisa bergembira, senang, tertawa bahkan bisa membantu orang-orang disekitar kita yang sedang mengalami persoalan dan tentunya hidup kita menjadi lebih berarti baik bagi diri sendiri, keluarga maupun teman-teman disekeliling kita. ",63.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",selalu berifikir positif di segala situasi apapun ,8.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",agar kita menjadi pribadi yang potif yg memiliki Jiwa dan Raga yang Lebih Sehat dan memiliki prestasi ,12.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.","hubungan berfikur positif dengan hidup sehat adalah jika kita berfikir positif maka kita bisa terhindar dari setres, emosi, dan selain itu bisa membuat umur kita panjang ",40.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",jika kita berpikir positif maka akan terhindar dari stres dan umur yang panjang ,28.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",dapat menjaga segala macam penyakit. ,6.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.","mengelola stress dengan baik, jiwa dan raga lebih sehat, mengatasi masalah dengan tepat, hidup lebih terarah. kenapa bisa begitu,, karena dalam tubuh yang sehat terdapat jiwa yang kuat. ",26.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",Berfikir positif sangat berhubungan dengan pola hidup sehat karena dari berfikir yang positif akan bisa menjadikan hidup yang sehat karena tidak terjadi beban fikiran. ,40.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",berfikir positif terhadap pola hidup sehat yaitu dalam pikiran yang positif akan menimbulkan sikap untuk memiliki pola hidup sehat sebaliknya jika pikiran negatif pasti memilih pola hidup yang tidak sehat ,41.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",-lebih berprestasi -jiwa dan raga lebih sehat -Memiliki Banyak Teman -Mengatasi Masalah dengan Tepat -Terhindar dari Ceroboh -Hidup Lebih Terarah -Hubungan Keluarga dan Pasangan yang Harmonis -Menjadi Pribadi Pemberani -Menjadi Diri Sendiri -Pribadi yang Pantang Menyerah -Memiliki Sikap Lapang Dada ,28.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",menghindari pemikiran yg bersifat negatif ,7.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",bila kita berpikir selalu positif tubuh kita akan merespon dengan perilaku dan pola hidup kita menjadi sehat ,24.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.","pikiran positif dapat memberi sugesti yang baik pada tubuh, sehingga tubuhpun dapat menjalani pola hidup sehat ",26.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",secara psikologi berfikir positif mampu meningkatkan kepercayaan diri yang akan berakibat baik pada sistem kekebalan tubuh. sehingga pola hidup sehat akan terjaga karena fikiran yang selalu positif dan tidak cenderung pada suatu hal negatif. ,46.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",positive thinking ,1.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",membuat kita berfikiran jernih dan sehat ,8.0
Bagaimana hubungan berfikir positif terhadap pola hidup sehat?,"Otak merupakan bagian terpenting dari tubuh manusia. Segala aktivitas akan dikoordinasikan dengan otak sebelum dijalankan oleh bagian tubuh. Pikiran positif akan menghindarkan anda dari stres, meningkatkan rasa percaya diri serta menjaga kinerja organ tubuh lainnya tetap maksimal.",bila berfikir positif sadar atau tidak sadar pola hidup kita akan sehat. hal ini sangat berhubungan karena bila pikiran sehat maka bila akan melakukan sesuai akan secara hati-hati dan tidak asal ambil keputusan ,22.0
"Sebutkan 5 manfaat olahraga bagi tubuh. (Termasuk bagi pikiran, otot dan organ tubuh) ",-Mengurangi stress - Membentuk otot tubuh dan mengencangkan otot - Membakar lemak - Menghindarkan dari penyakit - Membuat organ tubuh lebih sehat - Meningkatkan stamina - Menghindari penuaan dini,- Menyehatkan tubuh - Memperkuat otot-otot - Menjernihkan pikiran - Terhindar dari berbagai penyakit - Membentuk Metabolisme tubuh,47.0
"Sebutkan 5 manfaat olahraga bagi tubuh. (Termasuk bagi pikiran, otot dan organ tubuh) ",-Mengurangi stress - Membentuk otot tubuh dan mengencangkan otot - Membakar lemak - Menghindarkan dari penyakit - Membuat organ tubuh lebih sehat - Meningkatkan stamina - Menghindari penuaan dini,1. Meringankan Kerja Jantung. 2. Melancarkan Aliran Darah. 3. Mencegah Terjadinya Obesitas. 4. Meningkatkan Pertumbuhan Tulang Dan Gigi. 5. Meningkatkan Sistem Imun ,20.0
"Sebutkan 5 manfaat olahraga bagi tubuh. (Termasuk bagi pikiran, otot dan organ tubuh) ",-Mengurangi stress - Membentuk otot tubuh dan mengencangkan otot - Membakar lemak - Menghindarkan dari penyakit - Membuat organ tubuh lebih sehat - Meningkatkan stamina - Menghindari penuaan dini,"refresing, kesehatan otot, syaraf-syaraf mejadi semakit rilexs,pembentukan fisik,kelincahan bergerak ",23.0
"Sebutkan 5 manfaat olahraga bagi tubuh. (Termasuk bagi pikiran, otot dan organ tubuh) ",-Mengurangi stress - Membentuk otot tubuh dan mengencangkan otot - Membakar lemak - Menghindarkan dari penyakit - Membuat organ tubuh lebih sehat - Meningkatkan stamina - Menghindari penuaan dini,1. Menjaga kondisi fisik tetap prima. 2. Menghilangkan stress. 3. Mengurangi lemak. 4. Melancarkan sistem pencernaan. 5. Membentuk tubuh ideal. ,28.0
